ambiguity_K,eps,beta,policy,rep_seed,episode_id,success,steps,questions_asked,assistant_picked_goal,final_map_correct,oracle_steps,episode_max_steps,team_cost,oracle_cost,terminated_by_wrong_pick,failure_by_wrong_pick,failure_by_timeout,entropy_before_first_ask,entropy_after_first_ask,effective_goal_count_before,effective_goal_count_after,ig_of_first_asked_question,regret
1,0.0,1.0,never_ask,2,14,True,3,0,True,True,3,8,3.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,2,15,True,8,0,True,True,8,13,8.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,2,16,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,2,17,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,2,18,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,2,19,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,0,True,2,0,True,True,2,7,2.0,2.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,1,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,2,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,3,True,4,0,True,True,3,8,4.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,never_ask,3,4,True,2,0,True,True,2,7,2.0,2.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,5,True,8,0,True,True,8,13,8.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,6,True,2,0,True,True,2,7,2.0,2.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,7,True,2,0,True,True,2,7,2.0,2.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,8,True,8,0,True,True,8,13,8.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,9,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,10,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,11,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,12,True,4,0,True,True,3,8,4.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,never_ask,3,13,True,3,0,True,True,3,8,3.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,14,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,15,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,16,True,6,0,True,True,5,10,6.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,never_ask,3,17,True,7,0,True,True,6,11,7.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,never_ask,3,18,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,3,19,True,4,0,True,True,3,8,4.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,never_ask,4,0,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,4,1,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,4,2,True,6,0,True,True,5,10,6.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,never_ask,4,3,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,4,4,True,8,0,True,True,7,12,8.0,7.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,never_ask,4,5,True,8,0,True,True,7,12,8.0,7.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,never_ask,4,6,True,3,0,True,True,3,8,3.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,4,7,True,3,0,True,True,3,8,3.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,4,8,True,7,0,True,True,6,11,7.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,never_ask,4,9,True,7,0,True,True,6,11,7.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,never_ask,4,10,True,5,0,True,True,4,9,5.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,never_ask,4,11,True,8,0,True,True,7,12,8.0,7.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,never_ask,4,12,True,9,0,True,True,6,11,9.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,3.0
1,0.0,1.0,never_ask,4,13,True,4,0,True,True,3,8,4.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,never_ask,4,14,True,14,0,True,True,12,17,14.0,12.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,never_ask,4,15,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,4,16,True,11,0,True,True,9,14,11.0,9.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,never_ask,4,17,True,9,0,True,True,8,13,9.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,never_ask,4,18,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,never_ask,4,19,True,11,0,True,True,11,16,11.0,11.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,0,0,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,0,1,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,0,2,True,8,0,True,True,7,12,8.0,7.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,0,3,True,6,0,True,True,5,10,6.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,0,4,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,0,5,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,0,6,True,10,0,True,True,9,14,10.0,9.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,0,7,True,10,0,True,True,8,13,10.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,always_ask,0,8,True,10,0,True,True,8,13,10.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,always_ask,0,9,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,0,10,True,8,0,True,True,8,13,8.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,0,11,True,13,0,True,True,11,16,13.0,11.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,always_ask,0,12,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,0,13,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,0,14,True,12,0,True,True,10,15,12.0,10.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,always_ask,0,15,True,8,0,True,True,8,13,8.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,0,16,True,7,0,True,True,7,12,7.0,7.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,0,17,True,9,0,True,True,9,14,9.0,9.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,0,18,True,9,0,True,True,9,14,9.0,9.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,0,19,True,10,0,True,True,9,14,10.0,9.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,1,0,True,9,0,True,True,9,14,9.0,9.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,1,1,True,6,0,True,True,5,10,6.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,1,2,True,11,0,True,True,10,15,11.0,10.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,1,3,True,5,0,True,True,4,9,5.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,1,4,True,9,0,True,True,7,12,9.0,7.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,always_ask,1,5,True,5,0,True,True,4,9,5.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,1,6,True,3,0,True,True,3,8,3.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,1,7,True,7,0,True,True,7,12,7.0,7.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,1,8,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,1,9,True,8,0,True,True,8,13,8.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,1,10,True,3,0,True,True,3,8,3.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,1,11,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,1,12,True,14,0,True,True,12,17,14.0,12.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,always_ask,1,13,True,14,0,True,True,12,17,14.0,12.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,always_ask,1,14,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,1,15,True,8,0,True,True,8,13,8.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,1,16,True,2,0,True,True,2,7,2.0,2.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,1,17,True,2,0,True,True,2,7,2.0,2.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,1,18,True,2,0,True,True,2,7,2.0,2.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,1,19,True,11,0,True,True,10,15,11.0,10.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,2,0,True,10,0,True,True,8,13,10.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,always_ask,2,1,True,13,0,True,True,11,16,13.0,11.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,always_ask,2,2,True,7,0,True,True,7,12,7.0,7.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,2,3,True,11,0,True,True,9,14,11.0,9.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,always_ask,2,4,True,11,0,True,True,9,14,11.0,9.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,always_ask,2,5,True,6,0,True,True,5,10,6.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,2,6,True,9,0,True,True,8,13,9.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,2,7,True,9,0,True,True,8,13,9.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,2,8,True,10,0,True,True,9,14,10.0,9.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,2,9,True,10,0,True,True,9,14,10.0,9.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,2,10,True,10,0,True,True,9,14,10.0,9.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,2,11,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,2,12,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,2,13,True,3,0,True,True,3,8,3.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,2,14,True,3,0,True,True,3,8,3.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,2,15,True,8,0,True,True,8,13,8.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,2,16,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,2,17,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,2,18,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,2,19,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,0,True,2,0,True,True,2,7,2.0,2.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,1,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,2,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,3,True,4,0,True,True,3,8,4.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,3,4,True,2,0,True,True,2,7,2.0,2.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,5,True,8,0,True,True,8,13,8.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,6,True,2,0,True,True,2,7,2.0,2.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,7,True,2,0,True,True,2,7,2.0,2.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,8,True,8,0,True,True,8,13,8.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,9,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,10,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,11,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,12,True,4,0,True,True,3,8,4.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,3,13,True,3,0,True,True,3,8,3.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,14,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,15,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,16,True,6,0,True,True,5,10,6.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,3,17,True,7,0,True,True,6,11,7.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,3,18,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,3,19,True,4,0,True,True,3,8,4.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,4,0,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,4,1,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,4,2,True,6,0,True,True,5,10,6.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,4,3,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,4,4,True,8,0,True,True,7,12,8.0,7.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,4,5,True,8,0,True,True,7,12,8.0,7.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,4,6,True,3,0,True,True,3,8,3.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,4,7,True,3,0,True,True,3,8,3.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,4,8,True,7,0,True,True,6,11,7.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,4,9,True,7,0,True,True,6,11,7.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,4,10,True,5,0,True,True,4,9,5.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,4,11,True,8,0,True,True,7,12,8.0,7.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,4,12,True,9,0,True,True,6,11,9.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,3.0
1,0.0,1.0,always_ask,4,13,True,4,0,True,True,3,8,4.0,3.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,4,14,True,14,0,True,True,12,17,14.0,12.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,always_ask,4,15,True,4,0,True,True,4,9,4.0,4.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,4,16,True,11,0,True,True,9,14,11.0,9.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,always_ask,4,17,True,9,0,True,True,8,13,9.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,always_ask,4,18,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,always_ask,4,19,True,11,0,True,True,11,16,11.0,11.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,info_gain_ask,0,0,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,info_gain_ask,0,1,True,5,0,True,True,5,10,5.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,info_gain_ask,0,2,True,8,0,True,True,7,12,8.0,7.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,info_gain_ask,0,3,True,6,0,True,True,5,10,6.0,5.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,info_gain_ask,0,4,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,info_gain_ask,0,5,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,info_gain_ask,0,6,True,10,0,True,True,9,14,10.0,9.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,1.0
1,0.0,1.0,info_gain_ask,0,7,True,10,0,True,True,8,13,10.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,info_gain_ask,0,8,True,10,0,True,True,8,13,10.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
1,0.0,1.0,info_gain_ask,0,9,True,6,0,True,True,6,11,6.0,6.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,info_gain_ask,0,10,True,8,0,True,True,8,13,8.0,8.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,0.0
1,0.0,1.0,info_gain_ask,0,11,True,13,0,True,True,11,16,13.0,11.0,False,False,False,-1.110223024625156e-15,-1.110223024625156e-15,1.0,1.0,0.0,2.0
